configuration,outcome,predictor,beta_standardized,std_error_hc3,ci_95_low,ci_95_high,p_value,n,r_squared,adjusted_r_squared,run_fixed_effects
Arab__jais-adaptive_7b,purchase_intention_all_items,neuroticism,-0.009600054423720276,0.014546134868836982,-0.038109954880903026,0.01890984603346247,0.5092712374982387,4720,0.01122160611950418,0.009962817584964978,False
Arab__jais-adaptive_7b,purchase_intention_all_items,openness,-0.01826351537086786,0.014568549413297542,-0.04681734752792318,0.010290316786187456,0.20997790035573405,4720,0.01122160611950418,0.009962817584964978,False
Chinese__deepseek-r1_14b,ad_attitude_all_items,extraversion,0.2710636636384881,0.013601837813709725,0.244404551400062,0.2977227758769142,2.3055329452224704e-88,4982,0.11153842275982773,0.11064567599813135,False
Chinese__deepseek-r1_14b,ad_attitude_all_items,agreeableness,0.15926687757877261,0.013277937451832462,0.13324259838420544,0.1852911567733398,3.780982156620452e-33,4982,0.11153842275982773,0.11064567599813135,False
Chinese__deepseek-r1_14b,ad_attitude_all_items,conscientiousness,0.03816105594050037,0.013453980909285533,0.011791737909611279,0.06453037397138947,0.00456233046398076,4982,0.11153842275982773,0.11064567599813135,False
Chinese__deepseek-r1_14b,ad_attitude_all_items,neuroticism,-0.05326063560537328,0.01355561569953543,-0.07982915416472845,-0.026692117046018107,8.528357929648627e-05,4982,0.11153842275982773,0.11064567599813135,False
Chinese__deepseek-r1_14b,ad_attitude_all_items,openness,0.10024027810429217,0.013178031720124177,0.07441181054572236,0.12606874566286197,2.8135724610737947e-14,4982,0.11153842275982773,0.11064567599813135,False
Chinese__deepseek-r1_14b,purchase_intention_all_items,ad_attitude_all_items,0.5656684969411595,0.013033491958448966,0.5401233221098071,0.5912136717725119,0.0,4982,0.31628000957163127,0.31545542264850157,False
Chinese__deepseek-r1_14b,purchase_intention_all_items,extraversion,-0.016230708277644605,0.012215604179208845,-0.040172852518290905,0.007711435963001698,0.18395142293058941,4982,0.31628000957163127,0.31545542264850157,False
Chinese__deepseek-r1_14b,purchase_intention_all_items,agreeableness,-0.00585443400892929,0.012020979878878695,-0.029415121630412194,0.017706253612553614,0.6262455497122295,4982,0.31628000957163127,0.31545542264850157,False
Chinese__deepseek-r1_14b,purchase_intention_all_items,conscientiousness,0.053609107371364276,0.011827575024015385,0.030427486299848656,0.0767907284428799,5.827512474030659e-06,4982,0.31628000957163127,0.31545542264850157,False
Chinese__deepseek-r1_14b,purchase_intention_all_items,neuroticism,0.010041700449789035,0.01193888526101519,-0.013358084677356821,0.03344148557693489,0.4002964167630877,4982,0.31628000957163127,0.31545542264850157,False
Chinese__deepseek-r1_14b,purchase_intention_all_items,openness,-0.03179971199567084,0.01171751374862144,-0.05476561693132178,-0.008833807060019898,0.006650392011393286,4982,0.31628000957163127,0.31545542264850157,False
Southeast_Asian__sailor2_20b,ad_attitude_all_items,extraversion,0.43967252853997213,0.010617780014875821,0.41886206211504634,0.4604829949648979,0.0,4974,0.4234016520848666,0.4228213397379311,False
Southeast_Asian__sailor2_20b,ad_attitude_all_items,agreeableness,0.30762333229091054,0.010771469402463608,0.2865116402015067,0.3287350243803144,2.16629062402845e-179,4974,0.4234016520848666,0.4228213397379311,False
